"func.name","true_x","true_y","lin_extrap_x","lin_extrap_y","tpt","min_x","min_y","max_x","max_y","forced_choice_tpt"
"triangle_1",0.597077402773384,0.318952335376557,0.305845194453233,0.150809341506229,7,0,0,1,0.75,14
"zigzag_1",0.586707414532619,0.364318606070606,0.574881145104975,0.224311935956189,7,0,0,1,0.75,13
"zigzag_2",0.584864177723765,0.3227523541534,0.551811505353581,0.174766063048105,7,0,0,1,0.75,13
"zigzag_3",0.594918248173908,0.340562284409827,0.594918248173908,0.340562284409827,7,0,0,1,0.75,13
"zigzag_widening",0.501456255740732,0.44415122100128,0.618017136773103,0.320643272161548,7,0,0,1,0.75,14
"123",0.537109375,0.29296875,0.634765625,0.390625,8,0,0,1,0.75,14
"3_pts",0.597077402773384,0.375,0.597077402773384,0.375,8,0,0,1,0.75,12
"alternating_diff_1",0.455815114983552,0.34738444686472,0.397822453399464,0.289391785280631,8,0,0,1,0.75,14
"alternating_diff_2",0.442007338415912,0.38880777656764,0.442007338415912,0.272822453399463,8,0,0,1,0.75,11
"decreasing_y",0.432942708333333,0.432942708333333,0.4638671875,0.247395833333333,8,0,0,1,0.75,14
"f_curly_2",0.465544156311882,0.371288512496878,0.369127523938522,0.448427672062704,8,0,0,1,0.75,14
"hexagon",0.684884460491384,0.391011463955052,0.781948802249361,0.222891092427006,8,0,0,1,0.75,14
"hourglass_1",0.434294192639461,0.309294192639461,0.710258583553725,0.447276388096593,8,0,0,1,0.75,14
"increasing_lines",0.515733091973975,0.359266908026025,0.515733091973975,0.359266908026025,8,0,0,1,0.75,10
"plus",0.47922395091312,0.568635132476661,0.47922395091312,0.568635132476661,8,0,0,1,0.75,12
"radial_1",0.508042498246381,0.359030830288603,0.629899749439646,0.728163809599508,8,0,0,1,0.75,13
"radial_increasing",0.579845520378832,0.398735976239869,0.579845520378832,0.398735976239869,8,0,0,1,0.75,9
"sine",0.442007338415912,0.456928309549286,0.442007338415912,0.509472309673441,8,0,0,1,0.75,12
"spiral_outward",0.349550159237718,0.359044165886916,0.305260291345163,0.400371473091081,8,0,0,1,0.75,14
"square_2",0.3464416757427,0.584078313366061,0.3464416757427,0.584078313366061,8,0,0,1,0.75,13
"square_spiral",0.770141224133306,0.179165265520016,0.770141224133306,0.179165265520016,8,0,0,1,0.75,9
"stairs",0.549610951261767,0.313088651588977,0.5848141346155,0.351838109215549,8,0,0,1,0.75,14
"stairs_2",0.455805618228505,0.298734589257025,0.455805618228505,0.298734589257025,8,0,0,1,0.75,12
"triangle_1",0.500000000000001,0.487095329246886,0.791232208320151,0.318952335376557,8,0,0,1,0.75,14
"zigzag_1",0.563624218454398,0.436771241722419,0.563624218454398,0.436771241722419,8,0,0,1,0.75,13
"zigzag_2",0.570741549498303,0.40359093229025,0.570741549498303,0.40359093229025,8,0,0,1,0.75,13
"zigzag_3",0.589709684775195,0.385417126797426,0.589709684775195,0.385417126797426,8,0,0,1,0.75,13
"zigzag_widening",0.556299811679255,0.362474213946922,0.428637894358087,0.497744824580913,8,0,0,1,0.75,14
"123",0.634765625,0.390625,0.537109375,0.1953125,9,0,0,1,0.75,14
"3_pts",0.402922597226616,0.375,0.694154805546768,0.375,9,0,0,1,0.75,12
"alternating_diff_1",0.455815114983552,0.405377108448808,0.513807776567641,0.34738444686472,9,0,0,1,0.75,14
"alternating_diff_2",0.471003669207956,0.38880777656764,0.471003669207956,0.446800438151728,9,0,0,1,0.75,11
"decreasing_y",0.4638671875,0.247395833333333,0.4638671875,0.618489583333333,9,0,0,1,0.75,14
"f_curly_2",0.541357081852729,0.31053195482896,0.43775088558058,0.243357755684061,9,0,0,1,0.75,14
