"","changepoints","func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sampled_sd_x","sampled_sd_y","sd_x","sd_y"
"66","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.646941273739536,0.554225205985212,6,22.633574423183,2.69963363812519,0.507362544185188,2.07228226143565,-25.7510701101473,"line",54.437017199247,43.0820573963663,3,22.1,3,0.175411644890134,0.108479245580889,0.192543122619922,0.109408272067558
"67","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.953003575717591,6.33494454592916,7,21.8848798956276,2.6768271458003,0.680070308853122,1.07858613441674,-29.9565384241981,"line",66.2418467586343,105.424926095582,3,22.1,3,0.145450534962447,0.0933915705472414,0.148564755509324,0.0959289095325655
"68","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.38168146246609,0.552055991461158,8,21.7565249637593,3.48991826721454,1.16465525488621,3.05119438690894,-25.6755547443052,"line",68.3806574001388,68.0599534446743,3,22.1,3,0.113742940791321,0.0789996881617222,0.113484003564345,0.0805202067022822
"69","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.68184799196958,4.5378955374686,9,22.5679005557506,2.72120416534879,4.05921297059531,3.84901940586491,-30.8733659980032,"line",115.206103413487,47.4232757919416,3,22.1,3,0.0499486587082404,0.0736996421605748,0.0517432175758566,0.0785359880000922
"70","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.14184300618394,0.771568687676584,10,22.6628079972803,3.51196615102774,2.00605485786431,0.949653838291381,-26.0661772589049,"line",74.5320206089845,81.1047790141547,3,22.1,3,0.0884801257573502,0.135019586970057,0.0885462917833318,0.12008934083037
"71","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.480550011990461,3.9873637830201,11,22.5166935833283,1.98651155068361,1.11620040428008,1.36012546025371,-28.4390736098419,"line",35.1594298355393,69.3789175841647,3,22.1,3,0.177476771073551,0.139750109002574,0.161854766930861,0.133206723655237
"72","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.0627647226327,4.51201081981835,12,22.0447161111457,3.08262510046506,3.76705222942593,1.26746772695382,-27.1419091938468,"line",62.1714590978295,43.8720298037357,3,22.1,3,0.0727994463888799,0.152401080727025,0.0649347444233847,0.13288658349753
"73","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.339864003124555,0.428220061594073,13,22.9112714409106,2.29946686634539,1.7705337371224,2.55287976423259,-26.8920135817851,"line",52.0464890995472,32.2328519059863,3,22.1,3,0.12174376564695,0.15157686278658,0.119658168491778,0.138457296573033
"74","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.818171149963187,4.67826192639235,14,22.6717552470287,3.01242143483812,3.70790227318006,4.24163977214053,-33.0532456732163,"line",132.093603235616,93.0999634575955,3,22.1,3,0.0506853363067118,0.0523280350615612,0.052469379259589,0.0500621417782358
"75","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.922906754496872,0.311091242119211,15,21.9018396179093,2.61271233028757,2.61062741827196,0.747173500583558,-26.6946470269803,"line",54.7025227666854,105.782693211699,3,22.1,3,0.0823447865119204,0.121115376663076,0.0841740333091833,0.115047709193573
"76","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-2.14561116821529,6.25602135564229,16,19.770051745214,3.18765929892626,0.615391042316897,1.4744652473575,-31.2181377449469,"line",97.5187890085756,51.0652697295013,3,22.1,3,0.186890926778272,0.105980416074605,0.181098702721163,0.115604406717964
"77","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.55518018353102,2.43784968784705,17,21.1908330073487,3.39619090045269,1.04655397356833,3.15095946166487,-27.014245265402,"line",74.536656121463,62.8162289079378,3,22.1,3,0.121562327794671,0.0773322767272736,0.126044572708979,0.0787586487715096
"78","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.670690227519063,0.757887157118666,18,22.9422819785854,2.88072858543471,1.20702714205632,1.69922017940029,-30.5214408024487,"line",74.02368045653,155.817050667647,3,22.1,3,0.112513239282192,0.0610403240403078,0.117646204447763,0.0616293089456977
"79","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.534335167400892,2.30366298831249,19,22.5272885114832,2.34693264373725,2.76986609432366,1.61265247618225,-26.7167082468676,"line",49.4335929152061,79.8823988115672,3,22.1,3,0.0908740893123109,0.111800889733637,0.0907167492245039,0.101504518769055
"80","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.326562166270979,0.796192539871713,20,23.2110616076095,2.43836376211198,0.873701377537177,2.59441414775183,-26.4979242369233,"line",62.3867841096304,71.5044992296456,3,22.1,3,0.148827369018938,0.0842251439694208,0.1543325323602,0.0865529456825497
"81","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.927781673175187,0.20196317583954,1,20.4794104645644,3.40930162302038,6.79572581061027,2.66212602509901,-28.2631730026476,"line",50.5482866018577,70.5981002479722,4,20.8,4,0.149353246366182,0.0733696620126325,0.13389610159277,0.0801025630726289
"82","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.386308861160486,0.0377985404398172,2,21.3910312839246,3.03241823597313,2.17789781653699,2.2075636379767,-26.7854816660701,"line",72.9336913575407,43.083386963878,4,20.8,4,0.0889217162664057,0.108865231224205,0.0906740975705996,0.10142795142868
