"func.type","tpt","emd","model","population"
"sine",11,1.76685770618674,"gpnc","child"
"hexagon",11,0.391224319872103,"gpnc","child"
"spiral_outward",11,1.86491325716693,"gpnc","child"
"square_spiral",11,0.571443146542087,"gpnc","child"
"alternating_diff_2",11,1.36121380395752,"gpnc","child"
"line",11,0.756435784577203,"gpnc","child"
"hourglass_1",12,0.694321104288091,"gpnc","child"
"triangle_1",12,0.364673497098518,"gpnc","child"
"alternating_diff_1",12,0.372146819026503,"gpnc","child"
"zigzag_3",12,0.535801149104611,"gpnc","child"
"3_pts",12,0.793328695058841,"gpnc","child"
"zigzag_widening",12,5.57310397291591,"gpnc","child"
"zigzag_1",12,0.744327353235605,"gpnc","child"
"zigzag_2",12,0.796293728199917,"gpnc","child"
"stairs",12,1.39950379215775,"gpnc","child"
"increasing_lines",12,2.91458958269202,"gpnc","child"
"square_2",12,0.523921046848105,"gpnc","child"
"f_curly_2",12,2.13195193147945,"gpnc","child"
"radial_1",12,0.382359826432058,"gpnc","child"
"stairs_2",12,1.15233242530143,"gpnc","child"
"plus",12,0.983178580881805,"gpnc","child"
"sine",12,2.56213807155435,"gpnc","child"
"hexagon",12,0.29531009139967,"gpnc","child"
"spiral_outward",12,1.85461949907221,"gpnc","child"
"square_spiral",12,0.510519342937472,"gpnc","child"
"alternating_diff_2",12,1.45698175129523,"gpnc","child"
"line",12,1.49690524625529,"gpnc","child"
"hourglass_1",13,0.607866709265294,"gpnc","child"
"triangle_1",13,0.37693011184874,"gpnc","child"
"alternating_diff_1",13,0.743003038171812,"gpnc","child"
"zigzag_3",13,0.983083208212952,"gpnc","child"
"3_pts",13,0.369549043523725,"gpnc","child"
"zigzag_widening",13,3.57167288268212,"gpnc","child"
"zigzag_1",13,0.913208679918805,"gpnc","child"
"zigzag_2",13,1.62910432277463,"gpnc","child"
"stairs",13,1.51881078976702,"gpnc","child"
"increasing_lines",13,2.07415421582325,"gpnc","child"
"square_2",13,0.636697214153588,"gpnc","child"
"f_curly_2",13,1.37242046680015,"gpnc","child"
"radial_1",13,0.786347412703432,"gpnc","child"
"stairs_2",13,1.34774727910836,"gpnc","child"
"plus",13,1.34351231892635,"gpnc","child"
"sine",13,1.88829006338863,"gpnc","child"
"hexagon",13,0.256515469863866,"gpnc","child"
"spiral_outward",13,1.58081673716806,"gpnc","child"
"square_spiral",13,0.981569578586406,"gpnc","child"
"alternating_diff_2",13,1.34856218618269,"gpnc","child"
"line",13,1.04295542761471,"gpnc","child"
"hourglass_1",14,0.726033418608231,"gpnc","child"
"triangle_1",14,0.253474612468777,"gpnc","child"
"alternating_diff_1",14,0.416833504710274,"gpnc","child"
"zigzag_3",14,0.551889460576908,"gpnc","child"
"3_pts",14,0.386432595509049,"gpnc","child"
"zigzag_widening",14,2.18931497296319,"gpnc","child"
"zigzag_1",14,0.688925587434137,"gpnc","child"
"zigzag_2",14,0.571787389495521,"gpnc","child"
"stairs",14,0.935040062741402,"gpnc","child"
"increasing_lines",14,2.08616009020461,"gpnc","child"
"square_2",14,0.658621084848175,"gpnc","child"
"f_curly_2",14,0.916614257141561,"gpnc","child"
"radial_1",14,0.344853153352499,"gpnc","child"
"stairs_2",14,1.63993658642725,"gpnc","child"
"plus",14,0.852481678039258,"gpnc","child"
"sine",14,1.31979724520122,"gpnc","child"
"hexagon",14,0.295101111345705,"gpnc","child"
"spiral_outward",14,1.99811514104651,"gpnc","child"
"square_spiral",14,0.527731841587225,"gpnc","child"
"alternating_diff_2",14,1.21175589142057,"gpnc","child"
"line",14,0.755934458076434,"gpnc","child"
"line",3,2.98121514848217,"gpnc","monkey"
"increasing_lines",3,1.4541010191529,"gpnc","monkey"
"3_pts",3,1.51013999383202,"gpnc","monkey"
"radial_1",3,0.87403057516038,"gpnc","monkey"
"zigzag_widening",3,4.15211718939244,"gpnc","monkey"
"f_curly_2",3,0.953233686850182,"gpnc","monkey"
"square_spiral",3,1.29411645903736,"gpnc","monkey"
"spiral_outward",3,1.63226745749968,"gpnc","monkey"
"hourglass_1",3,1.63067786054642,"gpnc","monkey"
"alternating_diff_1",3,1.42028615242235,"gpnc","monkey"
"zigzag_3",3,3.70625881886965,"gpnc","monkey"
"square_2",3,1.17071531538726,"gpnc","monkey"
"sine",3,2.14101443061338,"gpnc","monkey"
"zigzag_1",3,1.27017597172224,"gpnc","monkey"
"alternating_diff_2",3,1.84432645341024,"gpnc","monkey"
"stairs_2",3,2.33052004912129,"gpnc","monkey"
"hexagon",3,1.07932359005456,"gpnc","monkey"
"stairs",3,2.67941039340782,"gpnc","monkey"
"zigzag_2",3,1.1366038467683,"gpnc","monkey"
"triangle_1",3,1.01015505274421,"gpnc","monkey"
"plus",3,1.04093939820253,"gpnc","monkey"
