"r_id","monkey_name","func_id","game_n","min_distance","max_distance","correct_distance","Current_time","screen_w","screen_h","n","x_curr","y_curr","x_next","y_next","x_pred","y_pred","correct","RT","total_correct","guess_number","func.type","mode","min_x","min_y","max_x","max_y"
15804927,"Monkey 1","line",21,0.6,2000,1.60105230412542,"Mon Apr 22 14:28:45 2024",1536,864,4,22.1,3,20.8,4,21.3933954125363,4.49335040853834,1,1.24045705795288,2,2,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
15804927,"Monkey 1","line",21,0.6,2000,1.60105230412542,"Mon Apr 22 14:28:47 2024",1536,864,5,20.8,4,19.5,5,19.1131087975698,4.73593409098158,1,1.32704854011536,3,3,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
15804927,"Monkey 1","line",21,0.6,2000,1.60105230412542,"Mon Apr 22 14:28:51 2024",1536,864,6,19.5,5,18.2,6,17.9244487535979,4.83296756395888,1,2.6080334186554,4,4,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
15804927,"Monkey 1","line",21,0.6,2000,1.60105230412542,"Mon Apr 22 14:28:54 2024",1536,864,7,18.2,6,16.9,7,18.1427740677968,6.72512028701619,1,1.5337553024292,5,5,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
15804927,"Monkey 1","line",21,0.6,2000,1.60105230412542,"Mon Apr 22 14:28:57 2024",1536,864,8,16.9,7,15.6,8,15.1832531419892,7.25880438839133,1,1.36904191970825,6,6,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
15804927,"Monkey 1","line",21,0.6,2000,1.60105230412542,"Mon Apr 22 14:29:00 2024",1536,864,9,15.6,8,14.3,9,14.867894354813,7.30732112487998,0,1.32816982269287,6,7,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
15804927,"Monkey 1","line",21,0.6,2000,1.60105230412542,"Mon Apr 22 14:29:02 2024",1536,864,10,14.3,9,13,10,11.3019142228973,11.4555020946595,0,0.170884847640991,6,8,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
15804927,"Monkey 1","line",21,0.6,2000,1.60105230412542,"Mon Apr 22 14:29:04 2024",1536,864,11,13,10,11.7,11,11.4232060641189,10.072775104733,1,0.167726516723633,7,9,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
15804927,"Monkey 1","line",21,0.6,2000,1.60105230412542,"Mon Apr 22 14:29:08 2024",1536,864,12,11.7,11,10.4,12,8.63349371602159,10.4851673648865,0,1.6099169254303,7,10,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
15804927,"Monkey 1","line",21,0.6,2000,1.60105230412542,"Mon Apr 22 14:29:09 2024",1536,864,13,10.4,12,9.1,13,8.00277614166915,13.59023850016,1,0.209625244140625,8,11,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
15804927,"Monkey 1","line",21,0.6,2000,1.60105230412542,"Mon Apr 22 14:29:11 2024",1536,864,14,9.1,13,7.8,14,8.90033576670916,13.7115303413816,1,0.996926069259644,9,12,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
13465360,"Monkey 1","line",29,0.6,2000,1.60105230412542,"Tue Apr 23 14:03:15 2024",1536,864,1,26,0,24.7,1,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
13465360,"Monkey 1","line",29,0.6,2000,1.60105230412542,"Tue Apr 23 14:03:17 2024",1536,864,2,24.7,1,23.4,2,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
13465360,"Monkey 1","line",29,0.6,2000,1.60105230412542,"Tue Apr 23 14:03:19 2024",1536,864,3,23.4,2,22.1,3,21.2721035713147,5.3423932970897,0,0.168535470962524,0,1,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
