"fn_x","fn_y","particle","pred_x","pred_y","score","sd_x","sd_y","seq_id","tpt","true_x","true_y"
"Linear(0.49766510987125717, 2, 1)","Linear(0.5034556941207158, 2, 1)",12,19.5180742748672,5.02158129945592,26.4017215409904,0.102240549154861,0.0152454621791072,"line",5,19.5,5
"Linear(0.5027028558204862, 2, 1)","Linear(0.5776130632973924, 1, 1)",13,19.477391009059,4.6093235067772,16.713108256539,0.111039611507126,0.483238300842273,"line",5,19.5,5
"SquaredExponential(0.24063966274269447, 2, 1)","Linear(0.5049314287704979, 2, 1)",14,19.4297784244286,5.03091628363487,20.2131831310868,0.509187693836731,0.0206589530193453,"line",5,19.5,5
"Linear(0.5205426195788307, 1, 1)","Linear(0.7979305810934336, 1, 1)",15,19.6045210351751,3.9431113510743,8.9927595022603,0.994336815361219,0.572860114485292,"line",5,19.5,5
"Linear(0.7087455269590978, 3, 1)","Linear(0.5344204606419783, 3, 1)",16,20.5679597411505,4.80842701635397,11.5040189189184,1.2358324421356,0.273919012186443,"line",5,19.5,5
"Linear(0.5230816241939437, 1, 1)","Linear(0.4608736730063536, 2, 1)",17,19.6755621251778,4.80592460808835,14.925866218617,0.0700244702947401,0.644048842484618,"line",5,19.5,5
"Linear(0.454608123045659, 3, 1)","SquaredExponential(0.31279110830268375, 1, 1)",18,19.084685272248,5.01806434405334,11.4860566281912,0.273135807409741,0.691166499842947,"line",5,19.5,5
"Linear(0.47824679682415827, 3, 1)","Linear(0.272186576000179, 2, 1)",19,19.3146162159069,4.10520505499174,14.5942958476822,0.10313765663195,0.554573071259573,"line",5,19.5,5
"SquaredExponential(0.33539881578651143, 1, 1)","Linear(0.6797385992439056, 1, 1)",20,19.5137748541385,4.23263805772566,13.020086895713,0.198080238698798,0.377694181114422,"line",5,19.5,5
"Linear(0.4856362210234848, 2, 1)","Linear(0.4798206094924856, 2, 1)",1,18.3437721409378,5.84785970058731,26.0912300437523,0.057438589334971,0.147136259812329,"line",6,18.2,6
"Linear(0.5003994001092711, 3, 1)","Linear(0.4988320297374934, 1, 1)",2,18.2041210840388,6.00936999810078,43.0258306160297,0.0232383515714862,0.0118928578823113,"line",6,18.2,6
"SquaredExponential(0.9410560281239174, 3, 1)","Linear(0.4970613248437094, 1, 1)",3,18.2268821981702,6.02369128458622,33.1098317609183,0.0488373978889792,0.0221813325455349,"line",6,18.2,6
"Linear(0.5012079596376406, 1, 1)","Linear(0.5039706385087794, 2, 1)",4,18.2125016318632,6.03209010088863,41.2276647982408,0.0141662643177671,0.0235752306227104,"line",6,18.2,6
"Linear(0.49884267179864705, 3, 1)","Linear(0.49464830808122817, 3, 1)",5,18.1879325963951,6.04341982172605,40.1923296283034,0.0136334190818111,0.0311250778258859,"line",6,18.2,6
"Linear(0.4991699528712922, 2, 1)","Linear(0.49967101208827347, 2, 1)",6,18.2084933737153,5.99738343638692,39.8014182850621,0.0501597944592444,0.0133569869373347,"line",6,18.2,6
"Linear(0.500010832125945, 1, 1)","SquaredExponential(0.3855099598932008, 2, 1)",7,18.2000876197599,5.96231798821688,31.5078896415877,0.0236735337018049,0.147482474743693,"line",6,18.2,6
