"func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sd_x","sd_y"
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.997919504314915,1.63182520737012,15,20.7294553404162,3.89466525184794,36.9064150434663,28.7859579133321,-18.8209061778354,"line",106.486217736719,90.2457419480018,4,20.8,4,0.0269147820658975,0.0338487576342981
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.882555886287129,1.60199499025999,16,20.9262880083462,3.84714480536565,48.5644637740451,5.92145097279271,-18.5049222367796,"line",47.931597991523,81.6614987264036,4,20.8,4,0.0381828795015013,0.076015314812871
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.828895445738054,3.57468731435446,17,21.0327833093464,3.8421760745218,19.6344483619729,32.7360215287332,-17.8344423096788,"line",55.9121152184717,47.6279796700119,4,20.8,4,0.0579605757515599,0.0469259237550125
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.04900238599563,1.56319150254845,18,20.7688570475279,4.09002320881337,32.0144933947095,18.9240596344941,-16.1062354042808,"line",83.786540320051,53.6373314128238,4,20.8,4,0.031661501964212,0.0524401991994953
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.876599275219582,1.6871366398634,19,20.832422633849,3.67846469258194,26.3999359029402,12.3794891449158,-16.4053304297613,"line",56.9783073804778,50.5050212820184,4,20.8,4,0.0421376911836415,0.0789061876475375
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.870746923084297,1.46646441554198,20,21.1447309661879,4.06161180379795,11.0306575024414,30.466959913758,-16.7813841462247,"line",68.727659708932,63.9427699303488,4,20.8,4,0.0721230963766194,0.0376562453692852
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.918762699376107,1.58453265475584,1,19.6027834138394,4.91507836867092,9.45538734763976,19.2098472235542,-16.6223172055306,"line",40.0534535559506,82.1909178961847,5,19.5,5,0.0847772041022411,0.0420708116675019
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.946203229288369,1.67699788094693,2,19.4436102917666,4.75403278569293,16.3150656505736,44.843165562799,-18.0898991102898,"line",54.2756748005282,52.0242990628112,5,19.5,5,0.0551394810211857,0.0476685689032042
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.03914206161973,5.53849713095217,3,19.5242352011472,5.13010168621217,29.3185236565887,24.7854440532556,-18.4681950218894,"line",87.7302605646982,64.2470379149275,5,19.5,5,0.0322592937168711,0.043849898438905
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.77529391195833,1.50084720106921,4,19.8996638296948,4.89794305427688,8.62117139408394,11.9462425399,-17.9932265111946,"line",71.6129736340941,32.6924081226038,5,19.5,5,0.0806028809740792,0.0836206125266991
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.04456937457634,3.58377916448593,5,19.4400802232058,5.04199084944091,74.7717381308133,49.7454891571342,-21.5927513628472,"line",85.3222508708196,36.499601505245,5,19.5,5,0.02140930927276,0.0385881085605937
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.918110941535265,3.36965189863749,6,19.9739621118751,5.25902220909039,17.3763795090612,25.049658406286,-20.3804851387004,"line",67.2333930026111,47.6912576680557,5,19.5,5,0.0745723129866748,0.0598613260229427
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.00552586078172,1.53707711510033,7,19.5679484147667,5.09629383006991,45.9392608416262,10.905310783384,-16.702689779976,"line",46.482104746078,65.2157228306013,5,19.5,5,0.0364753339671217,0.062171254531792
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.04188841270464,1.58299135825045,8,19.444857729317,5.04099426789432,34.0374726150586,20.1575657374027,-16.8446232915449,"line",60.8980952268248,28.2959704669638,5,19.5,5,0.0364130274230628,0.0679157703736944
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.929186226740793,1.58491316727441,9,19.588647838981,4.92473622739669,18.9621518261766,40.3302672332656,-16.2527449741969,"line",69.679688655533,66.0739552843946,5,19.5,5,0.0460248689758962,0.0328461208305022
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.1689912221094,1.67424472144851,10,19.1282863558798,4.93881168302515,7.1480651842497,21.0814811457828,-17.4107526564507,"line",44.2643497958165,36.6084825163861,5,19.5,5,0.106613728112409,0.059096596076185
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.983218279323648,3.62810430031112,11,19.4548211612507,4.88936258572228,26.0715202184872,37.2906520500231,-17.2860927821079,"line",43.2664401185826,63.0093443898153,5,19.5,5,0.0487539121371053,0.0363069295615934
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.893628133559555,1.51924568160024,12,19.7327700428326,5.0045779497153,24.4459684896096,15.9738902552014,-16.8137996584385,"line",56.8615319611754,85.1570981497793,5,19.5,5,0.0532744167279653,0.0442132340133526
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.00096330825428,1.48606841116293,13,19.6648212543264,5.1859824239839,18.4377247684558,30.1794931311734,-16.6655008522757,"line",43.3526976235386,47.6718956171928,5,19.5,5,0.0624656922904591,0.0504180215977974
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.14852831544628,1.53728133472662,14,19.3923286257982,5.25175349652801,10.6631519392545,5.84864126126134,-16.8182405334098,"line",57.5874265986515,50.0314309913685,5,19.5,5,0.0671100640739824,0.10126585000941
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.03611121867273,3.60074704441136,15,19.4240268218972,4.99723817802357,42.645377910787,8.59695392369093,-20.2596732161251,"line",114.452612153289,38.9626012239036,5,19.5,5,0.0244202973997483,0.0884875680168057
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.0944588341058,1.65024188982203,16,19.2691154660772,4.93732732766699,14.0255151516457,37.7909856413611,-17.2109104382385,"line",40.5694789373968,79.9800888672302,5,19.5,5,0.0767865637860746,0.0304548496917465
