Unnamed: 0,X.1,X,r_id,subj_id,func.name,game_n,min_distance,max_distance,correct_distance,Current_time,screen_w,screen_h,width,height,level,tpt,prev_x,prev_y,true_x,true_y,pred_x,pred_y,correct,attempt_number,dist_from_prev,dist_from_true,RT,total_correct,guess_number,func.type,mode,min_x,min_y,max_x,max_y,scale_by
65,65,988,26888753,BP24,line,5,0.6,2000,1.60105230412542,Tue Jan 23 12:34:54 2024,1536,864,1536,864,,9,0.5697783262371476,0.25495926894342363,14.3,9.0,0.6035156250000003,0.25850469617712674,0.0,1.0,52.0,111.0,0.0846393108367919,5.0,7.0,line,test,0,0,1,0.618343321732261,37.26085362328241
66,66,989,26888753,BP24,line,5,0.6,2000,1.60105230412542,Tue Jan 23 12:34:56 2024,1536,864,1536,864,,10,0.5348891631185739,0.2817970867269419,13.0,10.0,0.5175781250000012,0.29756719617712674,1.0,1.0,36.0,32.0,0.0425267219543457,6.0,8.0,line,test,0,0,1,0.618343321732261,37.26085362328241
67,67,990,26888753,BP24,line,5,0.6,2000,1.60105230412542,Tue Jan 23 12:34:58 2024,1536,864,1536,864,,11,0.5000000000000002,0.30863490451046016,11.7,11.0,0.540364583333333,0.28780157117712696,0.0,1.0,70.0,137.0,0.252731800079346,6.0,9.0,line,test,0,0,1,0.618343321732261,37.26085362328241
68,68,991,26888753,BP24,line,5,0.6,2000,1.60105230412542,Tue Jan 23 12:34:59 2024,1536,864,1536,864,,12,0.4651108368814264,0.33547272229397845,10.4,12.0,0.4505208333333325,0.3470463628437923,1.0,1.0,29.0,39.0,0.0870642662048339,7.0,10.0,line,test,0,0,1,0.618343321732261,37.26085362328241
69,69,992,26888753,BP24,line,5,0.6,2000,1.60105230412542,Tue Jan 23 12:35:03 2024,1536,864,1536,864,,13,0.43022167376285264,0.36231054007749675,9.1,13.0,0.48242187499999917,0.378947404510459,0.0,1.0,84.0,135.0,1.08443188667297,7.0,11.0,line,test,0,0,1,0.618343321732261,37.26085362328241
70,70,993,26888753,BP24,line,5,0.6,2000,1.60105230412542,Tue Jan 23 12:35:05 2024,1536,864,1536,864,,14,0.3953325106442789,0.389148357861015,7.8,14.0,0.3567708333333334,0.4707442795104603,0.0,1.0,139.0,84.0,0.24904727935791,7.0,12.0,line,test,0,0,1,0.618343321732261,37.26085362328241
73,73,1164,28788807,BP22,line,52,0.6,2000,1.60105230412542,Wed Jan 31 11:02:19 2024,1536,864,1536,864,,3,0.7791133049485902,0.09393236224231397,22.1,3.0,0.7063802083333346,0.14261927951046,0.0,1.0,134.0,67.0,0.0427258014678955,0.0,1.0,line,test,0,0,1,0.618343321732261,37.26085362328241
74,74,1165,28788807,BP22,line,52,0.6,2000,1.60105230412542,Wed Jan 31 11:02:21 2024,1536,864,1536,864,,4,0.7442241418300165,0.12077018002583224,20.8,4.0,0.7213541666666662,0.0924890711771268,0.0,1.0,56.0,87.0,0.251225709915161,0.0,2.0,line,test,0,0,1,0.618343321732261,37.26085362328241
75,75,1166,28788807,BP22,line,52,0.6,2000,1.60105230412542,Wed Jan 31 11:02:23 2024,1536,864,1536,864,,5,0.7093349787114428,0.14760799780935052,19.5,5.0,0.7226562500000009,0.17126511284379342,0.0,1.0,42.0,74.0,0.0427756309509277,0.0,3.0,line,test,0,0,1,0.618343321732261,37.26085362328241
76,76,1167,28788807,BP22,line,52,0.6,2000,1.60105230412542,Wed Jan 31 11:02:25 2024,1536,864,1536,864,,6,0.674445815592869,0.17444581559286879,18.2,6.0,0.634765625000001,0.1836349045104602,1.0,1.0,63.0,28.0,0.0841529369354248,1.0,4.0,line,test,0,0,1,0.618343321732261,37.26085362328241
