"seq_id","tpt","true_x","true_y","in_kids"
"zigzag_1",6,-2.44347786635253,-1.64794035622061,TRUE
"zigzag_2",6,-2.24088743034012,0.500501211972356,TRUE
"zigzag_3",6,-4.20399253802684,1.5252693992258,TRUE
"stairs",6,-7.38509020501019,6.70922125094627,TRUE
"stairs_2",6,4.23846262960663,3.74638953359472,TRUE
"growing_stairs_1",6,-0.633916232739118,-4.95965222670601,FALSE
"growing_stairs_2",6,1.15504220111841,4.08238625238175,FALSE
"alternating_diff_1",6,3,1,TRUE
"alternating_diff_2",6,6,0,TRUE
"alternating_diff_3",6,3,2,FALSE
"sine",7,7,1.97095979615637,TRUE
"sine_line",7,7,8.97095979615637,FALSE
"line",7,7,7,FALSE
"spiral_inward",7,-0.662296734531105,10.4386559733832,FALSE
"spiral_outward",7,-1.18053398874989,3.38836087981,TRUE
"triangle_1",7,0.999999999999999,-8.22925627046488e-16,TRUE
"triangle_2",7,1,1.73205080756888,FALSE
"square_1",7,0,1,FALSE
"square_2",7,2,3,TRUE
"hexagon",7,0.999999999999999,-1.1331077795296e-15,TRUE
"octagon",7,-0.707106781186548,0.707106781186547,FALSE
"star_octagon",7,0.707106781186549,0.707106781186547,FALSE
"star_hexagon",7,-1.38777878078145e-16,2.22044604925031e-16,FALSE
"star_pentagon",7,0.190983005625053,0.587785252292473,FALSE
"increasing_sine",7,7,-0.897614486801929,FALSE
"radial_1",7,0.313478060555453,0.949595443096897,TRUE
"radial_2",7,0.849487580767729,-0.527608614525381,FALSE
"plus",7,-0.0355709503422214,0.999367153498528,TRUE
"radial_increasing",7,1.54727273268145,1.2672596776906,FALSE
"spiky_circle_1",7,2.83744062337217,5.5687907761773,FALSE
"spiky_circle_2",7,1.7024643740233,3.34127446570638,FALSE
"oval",7,-1.2940952255126,2.41481456572267,FALSE
"zigzag_widening",7,-7.8362806191526,-1.8954434989979,TRUE
"zigzag_increasing",7,6.02806196312638,-3.696277718017,FALSE
"zigzag_increasing_widening",7,-3.10695952795062,-7.43954316417862,FALSE
"quadratic",7,-3,0.675,FALSE
"cubic",7,-3,0.135,FALSE
"gold_star",7,-4.12683631895866,-0.674168651571907,FALSE
"2_pts",7,1,0,FALSE
"3_pts",7,1,0,TRUE
"square_spiral",7,0,-1,TRUE
"hexagon_spiral",7,-2.87928919503058,-0.427273769845797,FALSE
"star_spiral",7,-3.34314575050762,4.14213562373095,FALSE
"triangle_spiral",7,0.500000000000002,2.59807621135332,FALSE
"f_curly_1",7,2.26208547724184,-1.55893449342659,FALSE
"f_curly_2",7,-2.53084568360575,-1.12527604624581,TRUE
"hourglass_1",7,1,1,TRUE
"hourglass_2",7,1,0,FALSE
"3_lines_of_3",7,1,2,FALSE
"increasing_lines",7,1,3,TRUE
"zigzag_1",7,-2.74704076888542,-0.695128956096842,TRUE
"zigzag_2",7,-2.4129825330755,1.4855815516475,TRUE
"zigzag_3",7,-4.31933791198437,2.51859484675375,TRUE
"stairs",7,-7.86877885301914,8.64985137845313,TRUE
"stairs_2",7,5.2365691500068,3.68488039659324,TRUE
"growing_stairs_1",7,-1.3305010971821,-5.67712663505027,FALSE
"growing_stairs_2",7,2.02794694336844,4.57027692759231,FALSE
"alternating_diff_1",7,3,0,TRUE
"alternating_diff_2",7,7,-2,TRUE
"alternating_diff_3",7,4,3,FALSE
"sine",8,8,2.96807473987015,TRUE
"sine_line",8,8,10.9680747398701,FALSE
"line",8,8,8,FALSE
"spiral_inward",8,-1.62797484195282,7.46660435996085,FALSE
"spiral_outward",8,-1.68268660460918,1.84289404083037,TRUE
"triangle_1",8,0.500000000000002,0.866025403784439,TRUE
"triangle_2",8,0.499999999999999,0.866025403784439,FALSE
"square_1",8,-4.28626379701574e-16,4.44089209850063e-16,FALSE
"square_2",8,1,3,TRUE
"hexagon",8,1.5,0.866025403784437,TRUE
"octagon",8,-5.55111512312578e-16,-2.22044604925031e-16,FALSE
"star_octagon",8,-9.99200722162641e-16,1.55431223447522e-15,FALSE
"star_hexagon",8,1,-2.6781411473391e-16,FALSE
"star_pentagon",8,0.5,-0.36327126400268,FALSE
"increasing_sine",8,8,-2.14056070580455,FALSE
"radial_1",8,0,0,TRUE
"radial_2",8,1.69897516153546,-1.05521722905076,FALSE
"plus",8,-0.0711419006844428,1.99873430699706,TRUE
"radial_increasing",8,2.32090909902218,1.90088951653589,FALSE
"spiky_circle_1",8,1.54508497187474,4.75528258147577,FALSE
"spiky_circle_2",8,1.15881372890605,3.56646193610683,FALSE
"oval",8,-2.5,2.1650635094611,FALSE
"zigzag_widening",8,-4.44540105792956,-6.94538763742952,TRUE
"zigzag_increasing",8,6.54899855106456,-5.01104958847488,FALSE
"zigzag_increasing_widening",8,-7.94563253324607,-9.04803424212252,FALSE
"quadratic",8,-2,0.3,FALSE
"cubic",8,-2,0.04,FALSE
"gold_star",8,-4.56499389237283,-1.57306683315857,FALSE
"2_pts",8,0,0,FALSE
"3_pts",8,2,0,TRUE
"square_spiral",8,1,-1,TRUE
"hexagon_spiral",8,-2.87928919503058,-1.4272737698458,FALSE
"star_spiral",8,-12.3431457505076,4.14213562373096,FALSE
"triangle_spiral",8,-1.99999999999999,6.92820323027551,FALSE
"f_curly_1",8,2.96017028665037,-1.07941549819893,FALSE
"f_curly_2",8,-2.83907152907645,-2.54402111088937,TRUE
"hourglass_1",8,0,0,TRUE
"hourglass_2",8,2,0,FALSE
"3_lines_of_3",8,2,2,FALSE
"increasing_lines",8,2,3,TRUE
"zigzag_1",8,-3.0506036714183,0.257682444026925,TRUE
"zigzag_2",8,-2.58507763581088,2.47066189132264,TRUE
"zigzag_3",8,-4.43468328594189,3.5119202942817,TRUE
"stairs",8,-9.84678694001358,8.94562833459503,TRUE
"stairs_2",8,6.23467567040696,3.62337125959175,TRUE
"growing_stairs_1",8,-2.02708596162508,-6.39460104339454,FALSE
"growing_stairs_2",8,2.90085168561847,5.05816760280287,FALSE
"alternating_diff_1",8,4,0,TRUE
"alternating_diff_2",8,8,0,TRUE
"alternating_diff_3",8,4,0,FALSE
"sine",9,9,1.23635545572527,TRUE
"sine_line",9,9,10.2363554557253,FALSE
"line",9,9,9,FALSE
"spiral_inward",9,-0.700923858827975,4.61343481107539,FALSE
"spiral_outward",9,-1.14190686445303,0.178545137313854,TRUE
"triangle_1",9,2.22044604925031e-16,1.66533453693773e-15,TRUE
"triangle_2",9,-1.11022302462516e-15,8.88178419700125e-16,FALSE
"square_1",9,1,-4.57695098088787e-17,FALSE
"square_2",9,0,3,TRUE
"hexagon",9,1,1.73205080756888,TRUE
"octagon",9,1,-4.66973964754502e-16,FALSE
"star_octagon",9,0.999999999999999,-2.73318952381369e-15,FALSE
"star_hexagon",9,0.777479066043686,0.974927912181824,FALSE
"star_pentagon",9,0.809016994374948,0.587785252292473,FALSE
"increasing_sine",9,9,-3.02022662781934,FALSE
"radial_1",9,-0.20331775757835,0.979112807317579,TRUE
"radial_2",9,0,0,FALSE
"plus",9,0,0,TRUE
